cust_id	cust_name
c00001342	canada ports corporation
c00001343	canada ports corporation
c00001888	stentor canadian network management
c00001991	weldwood of canada limited
c00002827	mcmillan bathurst
c00009618	puls & digital computers services inc.
c00027852	otak
c00027866	lightrealm communications
c00039757	videotron ltee
c00047487	lightrealm, inc.
c00049033	lightrealm, inc.
c00060024	lightrealm
c00060407	videotron ltee
c00061086	videotron ltee
c00082299	cidc haute vitesse inc.
c00085391	videotron ltee
c00085410	videotron ltee
c00089316	anx (bac inc)
c00091757	videotron ltee
c00094354	nexxia suites
c00094450	storm internet services
c00101213	bell nexxia development
c00104799	videotron ltee
c00104811	videotron ltee
c00104819	videotron ltee
c00104859	videotron ltee
c00104880	videotron ltee
c00105542	videotron ltee
c00129940	videotron ltee
c00147414	videotron ltee
c00147426	videotron ltee
c00148490	videotron ltee
c00158341	videotron ltee
c00170302	videotron ltee
c00170310	videotron ltee
c00170316	videotron ltee
c00170335	videotron ltee
c00174802	videotron ltee
c00178021	rogers telecom inc.
c00185166	rogers telecom inc.
c00202092	videotron ltee
c00218216	videotron ltee
c00218226	videotron ltee
c00218236	videotron ltee
c00236073	colorgraphix technologies inc
c00424386	les services internet abacom
c00452846	bell
c00458664	cadence design
c00458672	cadence design
c00461768	delta bow valley hotel resort
c00476189	murphy battista
c00503790	videotron ltee
c00503818	videotron ltee
c00503844	videotron ltee
c00503914	videotron ltee
c00503939	videotron ltee
c00503941	videotron ltee
c00506575	videotron ltee
c00506579	videotron ltee
c00506594	videotron ltee
c00506643	videotron ltee
c00506709	videotron ltee
c00506716	videotron ltee
c00506731	videotron ltee
c00507017	videotron ltee
c00507329	videotron ltee
c00507333	videotron ltee
c00507336	videotron ltee
c00507375	videotron ltee
c00509059	videotron ltee
c00517415	mipps inc.
c00517492	videotron ltee
c00520655	buyandsellitall.com inc.
c00531676	bell canada - david egerland i. m.
c00531721	rogers cable
c00531723	group telecom
c00535041	videotron ltee
c00649105	doteasy technology inc.
c00669339	wiband communications
c00676293	altalink management ltd.
c00716743	netvulive inc
c00723015	multi-media transcripts inc
c00737934	videotron ltee
c00750459	bell canada web site hosting
c00774927	papiers fraser inc (canada)
c00806395	videotron ltee
c00806399	videotron ltee
c00806411	videotron ltee
c00820315	international joint comm.
