org_id	org_name
807cit	807-city
aad-2	aad
ablcan-1	abl canada inc.
adcogn	adcognito inc.
aedint	aed internet inc.
amftec	amf technotransport inc.
arwil	ar williams truck equipment
atsaer-1	ats aerospace
bb-50	boing boing
bdws-1	by domain web services
bel-1	bnr europe limited
biomi	biomira inc
bl-169	unmeteredinternet.com
bos-2	basics office supplies
bw-600	big wifi
bwc-64	bells & whistles communications, inc.
bwifn	wapole island first nation
cancom	cancom technologies
canho-2	canhost inc.
capdc	canadian agra project development corp.
ccaat-5	cambrian college of applied arts & technology
cce-129	county of essex
ccg-3	the corporation of the city of gloucester
cdce	commission de cooperation environmentale inc.
cdndq	cablevision du nord de quebec inc
cdndq-1	cablevision du nord de quebec
cds-11	cegep de sainte-foy
cic-2	cuddy international corp.
cidcds	centre informatique des cegeps du saguenay-lac-saint-jean
cigame	cigam entertainment inc.
cihi	canadian institute for health information
cinaxd	cinax designs inc.
cityof-118	city of vancouver
cityof-134	city of kamloops
cjedl	carrefour jeunesse emploi de laval
cl-970	cloudip llc
colleg-13	college shawinigan
colleg-9	college montmorency
com-3	c3 online marketing inc.
comwa-2	comwave telecom inc.
coqb	cogeco communications holdings, inc.
cou	council of ontario universities
cover-13	cover-all computer services corp.
crdhd	capital regional district (health dept.)
cs-2745	cima+ s.e.n.c
csares	csa research
csi-160	commission scolaire des iles
css-11	commission scolaire saint-jean-sur-richelieu
cuug	calgary unix user group
d3man	d3 management
dataso-2	datasoft communications
ddc	doris development canada
ddsma	desjardins ducharmes stein monast avocats
delfo	delfour corp
diditc	did-it.com inc.
dis-10	databridge internet services
djtc	dow jones telerate canada, inc.
dlta	delta cable communications ltd.
dmts-1	dmts
dt-236	datavalet technologies inc.
dvtra	dv trading, llc
ecn-7	ecn
ecns	esc computer network solutions inc.
ecote-1	ecotel inc.
eitc-2	economic innovation and technology council
en-15	2ez network inc.
enmaxe	enmax envision inc.
esct	the elm street computer terminal
ftol	fleetcor technologies operating company, llc
gcl-185-z	g3 canada limited
gdl-10	gage data ltd.
georg-91	georgian.net
glc	greyhound lines of canada
grani-25	granite telecommunications llc
group-72	365 group
gvc-2	global village consulting
hcsa	health and community services agency
hopita-1	hopital montfort
hpl-13	hamilton public library
hrdc-2	human resources development canada
hss-6	harley street software
hydroq-1	hydro-quebec
ib-156	infiniti of bellevue
iboss-8	iboss,inc
ieeeca	ieee canada
ih-165	iqvia holdings inc
iisr	ism canada
iit-1	intera information technologies
info20	info 2000, inc.
infoma-8	infomatch communications inc.
inrste	inrs telecommunications
inter-560	interware net inc.
interp	interprovincial pipeline
isl-1	intransnet service ltd.
isma	information systems management alberta
ismc-2	information systems mgt. corp
itcl-4	itc global
itdntp-495	ip team  do not touch ports
itisi	bravo telecom
jmpeng	jmp engineering inc.
ke-365	krakr enterprises inc
krm	k & r management
labs	labs
lanwo	lanworks inc.
lcl-3	lanhouse communications ltd
leeel	leasding edge electronics (edson) ltd
libert-1	liberty health
liqui-20	liquidnet ltd.
litl	l.e.j. international trucks ltd.
lmwi	last mile wireless internet inc.
lsc-1	locus speech corporation
magell	magellan interactive
magnai-1	magna international inc.
mbpci	mbpci
mcmill	mcmillan bathurst
mdl-50	snagged internet services
memote-1	memotec
mfc-3	mackenzie financial corp
microf-8	microfix computers
milton	milton systems
minerv	minerva technology inc
mnc-381-z	mitel networks corporation
mnsi	managed network systems inc.
moody-z	moody's corp.
msea	mitchell seaforth cable t. v. ltd.
mtic	moonstar technology integration corp
nation-12	national-com internet inc.
nds-2	northern data systems
netce-4	netcelerate corporation
newman	newman consulting
nis-3	novadata information systems inc.
nitid	nitido inc
nl-364	nasn licensing inc.
nl-528	nutrien
norths-7	northstar software
npt-2	nie pc technologies
nstnin	nstn inc.
ntcsof	ntcs of canada
nwici	niagara wireless internet co.
nxcm	nexicom inc.
oic-24	outsource it
onixso	onix solutions
onsite-10	onsite solutions, inc.
opensy-1	opensys inc.
optx20	optx 2000 inc.
oshawa	oshawa foods
ospl-8	ovh singapore pte. ltd
otf	ontario teachers' federation
outloo	outlook systems
parkwo	parkwood hospital
parlee	parlee mclaws
pcn-13	pacific coast net inc.
pds-146	provision data systems inc.
platfo-1	platform computing corporation
pnfi	petawawa national forestry institute
ppla-2	pmg pte. ltd - amanah
presen	presentation edge inc.
pss-10	pinawa secondary school
ptg-49	premier truck group
ptm	public technlogies multimedia
pulson	pulsonic corporation
qe-15	9195-5302 quebec inc. (elpc inc)
qm-11	quickplay media inc
quebe-64	9013-6573 quebec inc.
quebe-67	transat telecom
quebe-77	oxio
rbc-1	royal bank of canada
repasi	repasi computing inc.
rezte	reztel communications inc.
reztek	rez-tek
ridget	ridgetown college
risqr-1	reseau d'informations scientifiques du quebec (risq) inc.
robso-2	robson communications inc
rt-275	radia telecom inc
sasins-1-z	sas institute, inc.
sd3s	school district #36 (surrey)
sfcu-49	ardent credit union
sfgtec-1	sfg technologies inc.
sis-6	strategic information systems
sjsl-1	saint john shipbuilding ltd.
speedw-12	speedware ltee
spindr	spindrift software co.
sprn	sprint
sq-9	surete du quebec
ss-2296	spacex services, inc.
ssc-299	shared services canada
abbott-1	abbott laboratories
acc-13	assiniboine community college
accen-5	accent internet
acmi	air communications international ltd.
acnsa	advanced computer and network solutions (acns)
acr-29	access communications  co-operative limited
adworl	adworld international inc.
ag-42	kaponline
airco-6	aircomplus inc.
alber-67	353233 alberta ltd
anhsr	alberta northwestern health services region
argote	argo-tech productions inc.
atd-17	airfire
atria-3	atria networks lp
b2b2c	b2b2c inc
barobi	b a robinson
bbs42	bbs 42
bcn-21	bell canada - nhs
bcwns	british columbia wireless network society
bellca	bell canada
better-5	better net
biru	beanfield - internal routing use
bistro	bistro internet
blizza-3	blizzard entertainment
bm-1319	brundage management company
bmwcan	bmw canada inc.
bnel	bell nexxia (elgin lab)
brocl	by roxy operations
bt-1259	beauce telecom
bt-431	brama telecom
bullh	bullhosting
campbe-16	campbell communications
cantre	cantrex groupe inc.
cbc-9	crowntek business centers inc.
ccc-818	rbc convention centre winnipeg
ccl-40	cch canadian ltd.
ccp-104	the corporation of the city of pickering
ccp-7	canada computer paper inc.
ccqhs	c.s. centrale quebec/ holland school
ccw-41	county of wellington
cdm-6	college de maisonneuve
cdndt	commission des normes du travail
cdnv	corporation of the district of north vancouver
cdtdq	comm. de transport du quebec
cg-1	cyber generation inc
cg-180	the cantermore group inc
cjl-2	cegep joliette-de lanaudiere
clrd	cariboo library and regional district
cmc-135	children's medical center of dallas
cmd	communications mg direct
cogc	cogent communications
compre-3	compression technologies inc.
connec-12	connect tech, inc.
cpg-1	city of prince george
criti-22	critical media
csb-149	commission scolaire des bois-francs
cscds	centre de services scolaire de la region-de-sherbrooke
csds	commission scolaire de sorel-tracy
cse-4	communications security establishment
ctl-52	cirrus tech ltd.
datac-31	datacenter.bz, llc
datat-5	datatel inc
dcaa	durham college of applied arts and
dccl	dover corporation (canada) limited
dci-4	digital courier international
dcr	denfield communications, reg.
debug	parsehub
dijot	dijoto inc.
disl-4	digitalfyre internet solutions, llc.
dlp-11	d+h limited partnership
domtar-5	domtar inc.
duc	ducks unlimited canada
eagle-28	eagle.ca
eatsl	communicate freely
eds-13	emj data systems
eecsbc	e-comm 911
eisl	enhansen information systems ltd.
elos	elosoft web hosting ltd.
eont	eastern oregon net, inc.
equifa-1	equifax canada inc
ezpro-1	ezprovider networks, inc.
fcl-10	federated co-operatives limited
fionni	fionn industries inc
gdqm	gouvernement du quebec - msss
gill	mcgill university
gmcal	geophysical micro computer applications ltd.
gn-146	ggnet, ggnet.ca
gss-12	glennie stannes strategy
gvtag	translink
hall	harte & lyne limited
harite	haritech consulting
hccl-7	hay communications co-operative limited
hcdsb	halton catholic district school board
helpo	helpox inc
hltn	halton hills hydro
hnl-11	hipaa networks llc
hydras	hydra software
ibuyp	ibuyphonecard.com
icsu	igt canada solutions
igdb	international graphics & designs bc inc.
iis-8	inter-com information services
iisl	inter-com information services ltd.
imc-96	infinite media corp
inc	internet connect inc.
intou-9	24-7 intouch incorporated
intouc	intouch services
iperc-1	iperceptions inc.
ipxon	ipxon
iqi	internet quebec iq inc.
irist-2	iristel
island	island internet inc.
isn-10	ion secured networks inc
iw-1	integral wealth
jumbov	jumbo video inc.
kgsgro	kgs group
kvaern	kvaerner hymac inc.
lacnic	latin american and caribbean ip address regional registry
lakela-1	lakeland college
lancon	lanconnect technology
lesne	les.net
lino	lino solutions internet de télébec
magm	magma communications ltd.
makaer-1	makaera vir inc.
manit-6	swift high speed.com
mcl-3	mcvety company limited
mcs-254	mac's convenience stores inc.
mdmana	md management
metro-2	metrooptic 3cs
mie-17	montreal internet exchange inc.
mk-36	mikmaw kinamatnewey
ml-1315	mxroute llc
msl-136	morneau shepell ltd.
mun	memorial university of newfoundland
netera-2	cybera inc
nl	nebraskalink
nl-108	nate leaver
nnnl	new north networks ltd.
north-507	north nova cable ltd.
nrcfs	natural resources canada - forestry sector
nsl-352	3327783 nova scotia limited
nuvoel	nuvo electronics inc
obn	otterhole bbs non-profit
oceta	ontario centre for environmental technology advancement
ord	orb research and development
org-34822-1	3482286 canada inc
osb-1	okanagan spring brewery
pc-2223	house of commons
peerle	peerless clothing inc.
petcom-1	petcom industries
pmc-6	predictive maintenance corp.
pmt-1	peat marwick thorne
pnap	internap network services corporation
ppdn	p.d.n. product direct network, inc.
ppl-5	poco petroleums ltd.
prca	primus telecommunications canada inc.
price-45	pricemetrix inc.
provi-45	provincial health services authority
psc-21	public service commission
pwcc-1	pratt & whitney canada corp.
q9nt	q9 networks inc.
qc-87	qtrade canada inc
qt-28	qustodio technologies
qtcs	quiet touch computer systems inc.
quanti-2	quantic laboratories
rbl	rice brydone limited
rcc-184	rogers communications canada inc.
rept	reptilian research
retsd	river east transcona school division
revenu	revenue canada
revolv	revolve technologies inc.
rfc-41	resolute fp canada inc.
rns	rogers network services
saskt-2	sasktel cnet
saultc	sault college of applied arts & technology
scbnt	simcoe community broadband network telecommunications inc.
sd8vin-z	school district #85, vancouver island north
sddq	societe d'habitation du quebec
semexc	semex canada
sfus	simon fraser university - surrey
shiftm	shift magazine, inc.
shs-10	selwyn house school
siber-2	sibername.com
sipi-2	debian project
sis-10	skyenet internet solutions
sjhc-3	st joseph's health centre
sl-892	stackpath, llc.
softco	softcop international, inc.
softse	softset consulting
softv-2	softvoyage inc
spmc-1-z	government of saskatchewan
ssc-44	sunset system consulting
ssi-136	8ssi
ssll-1	sourceworks software labs ltd
st-1003	simconet technologies inc.
stcc-4-z	ss&c technologies canada corp.
stg-8	solect technology group inc.
sul-8	sohonet inc.
sw-272	smilegate west, inc.
symbol	symbolics canada, inc.
symtre	symtrex inc.
tcwc	tri city wifi corp.
telus-3	telus mobility
tfl	timberwest forest limited
thenor-2	the north west company
thepra	the praxium group inc.
tk-26	kecommerce
toolsy	tool syndicate
toxikt	toxik technologies inc
transc-2	transcandada pipelines
trs-43	tacoma rubber stamp
